"id","cap-Shape","cap-Surface","cap-Color","bruises?","odor","gill-Attachment","gill-Spacing","gill-Size","gill-Color","stalk-Shape","stalk-Root","stalk-Surface-Above-Ring","stalk-Surface-Below-Ring","stalk-Color-Above-Ring","stalk-Color-Below-Ring","veil-Type","veil-Color","ring-Number","ring-Type","spore-Print-Color","population","habitat","edibility"
2376,"flat","smooth","white","True","pungent","free","close","narrow","white","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","urban","poisonous"
2377,"convex","fibrous","gray","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","gray","gray","partial","white","one","pendant","black","several","woods","edible"
2378,"flat","smooth","white","False","none","free","crowded","broad","black","tapering","equal","smooth","smooth","white","white","partial","white","one","evanescent","black","scattered","grasses","edible"
2379,"convex","smooth","gray","False","none","free","crowded","broad","pink","tapering","equal","smooth","fibrous","white","white","partial","white","one","evanescent","brown","scattered","grasses","edible"
2380,"convex","fibrous","gray","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","black","several","woods","edible"
2381,"flat","fibrous","brown","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","black","solitary","woods","edible"
2382,"convex","fibrous","red","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","gray","gray","partial","white","one","pendant","black","several","woods","edible"
2383,"convex","scaly","gray","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","black","several","woods","edible"
2384,"flat","fibrous","brown","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","white","gray","partial","white","one","pendant","black","solitary","woods","edible"
2385,"convex","fibrous","brown","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","brown","several","woods","edible"
2386,"convex","fibrous","gray","False","foul","free","close","broad","chocolate","enlarging","bulbous","silky","silky","brown","brown","partial","white","one","large","chocolate","solitary","woods","poisonous"
2387,"convex","scaly","red","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","gray","gray","partial","white","one","pendant","black","solitary","woods","edible"
2388,"convex","fibrous","brown","False","none","free","crowded","broad","chocolate","tapering","equal","smooth","smooth","white","white","partial","white","one","evanescent","black","abundant","grasses","edible"
2389,"convex","smooth","white","True","pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","grasses","poisonous"
2390,"convex","scaly","gray","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","brown","solitary","woods","edible"
2391,"flat","fibrous","brown","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods","edible"
2392,"convex","fibrous","brown","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","gray","pink","partial","white","one","pendant","black","solitary","woods","edible"
2393,"convex","scaly","gray","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","pink","white","partial","white","one","pendant","black","several","woods","edible"
2394,"convex","scaly","gray","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","black","several","woods","edible"
2395,"flat","fibrous","brown","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","brown","several","woods","edible"
2396,"flat","fibrous","brown","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","gray","white","partial","white","one","pendant","black","solitary","woods","edible"
2397,"convex","fibrous","gray","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","white","gray","partial","white","one","pendant","black","several","woods","edible"
2398,"flat","fibrous","gray","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","gray","pink","partial","white","one","pendant","brown","solitary","woods","edible"
2399,"convex","scaly","red","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","gray","gray","partial","white","one","pendant","brown","solitary","woods","edible"
2400,"convex","fibrous","red","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","black","solitary","woods","edible"
2401,"convex","smooth","white","True","pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","black","several","grasses","poisonous"
2402,"flat","fibrous","gray","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","black","several","woods","edible"
2403,"convex","fibrous","gray","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","gray","pink","partial","white","one","pendant","black","several","woods","edible"
2404,"flat","scaly","red","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","white","pink","partial","white","one","pendant","black","several","woods","edible"
2405,"flat","scaly","gray","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","black","several","woods","edible"
2406,"convex","scaly","brown","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods","edible"
2407,"convex","scaly","red","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","gray","white","partial","white","one","pendant","brown","solitary","woods","edible"
2408,"convex","fibrous","red","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","solitary","woods","edible"
2409,"convex","scaly","red","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","gray","white","partial","white","one","pendant","black","solitary","woods","edible"
2410,"flat","fibrous","gray","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","brown","solitary","woods","edible"
2411,"convex","fibrous","gray","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","black","several","woods","edible"
2412,"flat","fibrous","brown","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","white","pink","partial","white","one","pendant","brown","several","woods","edible"
2413,"convex","scaly","brown","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","brown","several","woods","edible"
2414,"convex","scaly","gray","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","black","several","woods","edible"
2415,"convex","fibrous","gray","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","brown","several","woods","edible"
2416,"convex","scaly","brown","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","black","solitary","woods","edible"
2417,"flat","fibrous","brown","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","gray","pink","partial","white","one","pendant","brown","several","woods","edible"
2418,"convex","scaly","brown","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","gray","white","partial","white","one","pendant","black","solitary","woods","edible"
2419,"convex","scaly","brown","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","black","solitary","woods","edible"
2420,"flat","fibrous","brown","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","black","several","woods","edible"
2421,"convex","fibrous","brown","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","brown","solitary","woods","edible"
2422,"convex","fibrous","brown","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","gray","white","partial","white","one","pendant","brown","several","woods","edible"
2423,"convex","scaly","brown","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","gray","pink","partial","white","one","pendant","black","solitary","woods","edible"
2424,"flat","fibrous","gray","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","brown","solitary","woods","edible"
2425,"convex","fibrous","red","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","solitary","woods","edible"
2426,"flat","fibrous","brown","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","gray","gray","partial","white","one","pendant","brown","several","woods","edible"
2427,"convex","smooth","pink","False","creosote","free","close","narrow","gray","enlarging","bulbous","smooth","smooth","white","white","partial","white","one","pendant","black","several","woods","poisonous"
2428,"convex","fibrous","red","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","brown","solitary","woods","edible"
2429,"flat","fibrous","brown","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","black","solitary","woods","edible"
2430,"convex","fibrous","brown","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","black","solitary","woods","edible"
2431,"flat","fibrous","red","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","brown","several","woods","edible"
2432,"convex","scaly","red","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","white","gray","partial","white","one","pendant","black","solitary","woods","edible"
2433,"convex","fibrous","gray","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","white","gray","partial","white","one","pendant","brown","solitary","woods","edible"
2434,"convex","fibrous","gray","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","pink","white","partial","white","one","pendant","brown","solitary","woods","edible"
2435,"convex","fibrous","gray","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","gray","white","partial","white","one","pendant","black","several","woods","edible"
2436,"convex","fibrous","gray","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","brown","solitary","woods","edible"
2437,"flat","fibrous","gray","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","white","gray","partial","white","one","pendant","brown","solitary","woods","edible"
2438,"convex","fibrous","red","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","white","gray","partial","white","one","pendant","brown","several","woods","edible"
2439,"flat","scaly","brown","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","black","solitary","woods","edible"
2440,"flat","scaly","red","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","gray","white","partial","white","one","pendant","black","several","woods","edible"
2441,"convex","scaly","gray","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","solitary","woods","edible"
2442,"convex","scaly","gray","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","black","solitary","woods","edible"
2443,"convex","fibrous","gray","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","pink","white","partial","white","one","pendant","black","solitary","woods","edible"
2444,"convex","fibrous","gray","False","foul","free","close","broad","chocolate","enlarging","bulbous","silky","silky","buff","buff","partial","white","one","large","chocolate","solitary","grasses","poisonous"
2445,"convex","scaly","brown","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","white","pink","partial","white","one","pendant","black","several","woods","edible"
2446,"convex","scaly","red","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","gray","pink","partial","white","one","pendant","brown","solitary","woods","edible"
2447,"convex","fibrous","brown","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","black","several","woods","edible"
2448,"flat","fibrous","brown","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","solitary","woods","edible"
2449,"flat","fibrous","brown","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","pink","white","partial","white","one","pendant","black","several","woods","edible"
2450,"flat","fibrous","gray","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","black","solitary","woods","edible"
2451,"flat","fibrous","gray","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","pink","white","partial","white","one","pendant","brown","solitary","woods","edible"
2452,"convex","scaly","gray","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","brown","solitary","woods","edible"
2453,"convex","fibrous","gray","False","none","free","crowded","broad","black","tapering","equal","smooth","fibrous","white","white","partial","white","one","evanescent","brown","abundant","grasses","edible"
2454,"convex","scaly","gray","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","black","solitary","woods","edible"
2455,"convex","fibrous","red","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","white","pink","partial","white","one","pendant","black","solitary","woods","edible"
2456,"flat","fibrous","brown","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","black","several","woods","edible"
2457,"convex","scaly","red","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","gray","white","partial","white","one","pendant","brown","solitary","woods","edible"
2458,"convex","fibrous","gray","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods","edible"
2459,"convex","fibrous","brown","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","gray","gray","partial","white","one","pendant","black","solitary","woods","edible"
2460,"convex","scaly","red","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","white","pink","partial","white","one","pendant","brown","several","woods","edible"
2461,"convex","fibrous","brown","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","white","pink","partial","white","one","pendant","black","several","woods","edible"
2462,"flat","fibrous","gray","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","black","solitary","woods","edible"
2463,"convex","scaly","gray","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","gray","white","partial","white","one","pendant","black","solitary","woods","edible"
2464,"convex","scaly","gray","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","white","pink","partial","white","one","pendant","black","several","woods","edible"
2465,"flat","fibrous","brown","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","pink","white","partial","white","one","pendant","brown","solitary","woods","edible"
2466,"convex","fibrous","gray","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","gray","gray","partial","white","one","pendant","black","several","woods","edible"
2467,"flat","fibrous","brown","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","gray","pink","partial","white","one","pendant","brown","several","woods","edible"
2468,"convex","scaly","red","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","pink","white","partial","white","one","pendant","black","several","woods","edible"
2469,"convex","fibrous","brown","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","black","solitary","woods","edible"
2470,"convex","scaly","gray","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","gray","pink","partial","white","one","pendant","black","several","woods","edible"
2471,"flat","fibrous","gray","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","white","gray","partial","white","one","pendant","black","several","woods","edible"
2472,"convex","fibrous","gray","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","white","gray","partial","white","one","pendant","brown","several","woods","edible"
2473,"convex","fibrous","brown","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","gray","gray","partial","white","one","pendant","black","several","woods","edible"
2474,"convex","scaly","gray","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","pink","white","partial","white","one","pendant","brown","several","woods","edible"
2475,"convex","scaly","gray","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","white","pink","partial","white","one","pendant","brown","solitary","woods","edible"
2476,"convex","scaly","red","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","white","pink","partial","white","one","pendant","brown","several","woods","edible"
2477,"convex","scaly","brown","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","black","several","woods","edible"
2478,"convex","scaly","gray","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","white","gray","partial","white","one","pendant","black","solitary","woods","edible"
2479,"flat","scaly","brown","True","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","urban","poisonous"
2480,"convex","smooth","gray","False","none","free","crowded","broad","brown","tapering","equal","fibrous","smooth","white","white","partial","white","one","evanescent","brown","scattered","grasses","edible"
2481,"convex","fibrous","gray","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","gray","pink","partial","white","one","pendant","black","several","woods","edible"
2482,"convex","fibrous","red","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","white","gray","partial","white","one","pendant","black","solitary","woods","edible"
2483,"convex","smooth","pink","False","creosote","free","crowded","narrow","purple","enlarging","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","woods","poisonous"
2484,"convex","scaly","brown","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","black","solitary","woods","edible"
2485,"convex","fibrous","red","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","white","gray","partial","white","one","pendant","black","several","woods","edible"
2486,"convex","scaly","brown","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","solitary","woods","edible"
2487,"convex","scaly","red","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","black","several","woods","edible"
2488,"convex","smooth","white","False","none","free","crowded","broad","black","tapering","equal","smooth","smooth","white","white","partial","white","one","evanescent","brown","scattered","grasses","edible"
2489,"flat","fibrous","gray","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","gray","pink","partial","white","one","pendant","brown","several","woods","edible"
2490,"convex","scaly","gray","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","gray","pink","partial","white","one","pendant","brown","several","woods","edible"
2491,"convex","scaly","gray","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","brown","several","woods","edible"
2492,"convex","fibrous","red","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","gray","white","partial","white","one","pendant","brown","solitary","woods","edible"
2493,"convex","scaly","gray","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","pink","white","partial","white","one","pendant","black","several","woods","edible"
2494,"convex","scaly","gray","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","white","pink","partial","white","one","pendant","brown","several","woods","edible"
2495,"convex","fibrous","red","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","gray","pink","partial","white","one","pendant","black","solitary","woods","edible"
2496,"flat","scaly","white","True","pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","urban","poisonous"
2497,"flat","fibrous","brown","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","solitary","woods","edible"
2498,"convex","fibrous","red","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","gray","white","partial","white","one","pendant","black","solitary","woods","edible"
2499,"convex","fibrous","red","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","brown","several","woods","edible"
2500,"convex","scaly","gray","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","white","gray","partial","white","one","pendant","black","several","woods","edible"
2501,"flat","smooth","white","False","none","free","crowded","broad","chocolate","tapering","equal","fibrous","fibrous","white","white","partial","white","one","evanescent","black","scattered","grasses","edible"
2502,"convex","fibrous","brown","False","none","free","crowded","broad","black","tapering","equal","fibrous","smooth","white","white","partial","white","one","evanescent","brown","abundant","grasses","edible"
2503,"convex","fibrous","brown","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","black","several","woods","edible"
2504,"flat","fibrous","brown","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","brown","several","woods","edible"
2505,"convex","scaly","red","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","white","gray","partial","white","one","pendant","brown","solitary","woods","edible"
2506,"convex","scaly","red","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","brown","solitary","woods","edible"
2507,"convex","scaly","red","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","pink","white","partial","white","one","pendant","brown","solitary","woods","edible"
2508,"flat","fibrous","brown","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","white","pink","partial","white","one","pendant","black","solitary","woods","edible"
2509,"convex","fibrous","gray","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","black","several","woods","edible"
2510,"flat","fibrous","brown","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","white","gray","partial","white","one","pendant","black","several","woods","edible"
2511,"flat","fibrous","red","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","white","pink","partial","white","one","pendant","brown","solitary","woods","edible"
2512,"convex","scaly","red","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","brown","several","woods","edible"
2513,"convex","smooth","white","False","creosote","free","crowded","narrow","pink","enlarging","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","woods","poisonous"
2514,"flat","fibrous","brown","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","black","solitary","woods","edible"
2515,"flat","fibrous","gray","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","brown","solitary","woods","edible"
2516,"flat","fibrous","brown","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","black","several","woods","edible"
2517,"convex","scaly","brown","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","black","several","woods","edible"
2518,"convex","fibrous","red","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","gray","pink","partial","white","one","pendant","black","solitary","woods","edible"
2519,"flat","smooth","white","False","none","free","crowded","broad","brown","tapering","equal","fibrous","smooth","white","white","partial","white","one","evanescent","brown","scattered","grasses","edible"
2520,"convex","scaly","gray","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","brown","solitary","woods","edible"
2521,"convex","fibrous","red","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","black","several","woods","edible"
2522,"flat","fibrous","brown","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","white","gray","partial","white","one","pendant","brown","several","woods","edible"
2523,"flat","fibrous","brown","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","white","gray","partial","white","one","pendant","black","several","woods","edible"
2524,"convex","scaly","brown","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","gray","white","partial","white","one","pendant","black","solitary","woods","edible"
2525,"convex","scaly","gray","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","white","pink","partial","white","one","pendant","brown","solitary","woods","edible"
2526,"convex","scaly","brown","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","black","several","woods","edible"
2527,"convex","fibrous","gray","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","pink","white","partial","white","one","pendant","brown","solitary","woods","edible"
2528,"convex","scaly","brown","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","black","solitary","woods","edible"
2529,"convex","scaly","brown","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","white","pink","partial","white","one","pendant","black","several","woods","edible"
2530,"flat","fibrous","brown","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","pink","white","partial","white","one","pendant","brown","solitary","woods","edible"
2531,"convex","scaly","gray","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","white","pink","partial","white","one","pendant","brown","several","woods","edible"
2532,"convex","scaly","red","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","black","solitary","woods","edible"
2533,"convex","scaly","brown","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","black","solitary","woods","edible"
2534,"convex","fibrous","gray","False","foul","free","close","broad","gray","enlarging","bulbous","silky","silky","brown","buff","partial","white","one","large","chocolate","solitary","paths","poisonous"
2535,"flat","fibrous","gray","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","black","several","woods","edible"
2536,"convex","scaly","red","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","gray","gray","partial","white","one","pendant","black","several","woods","edible"
2537,"convex","fibrous","gray","False","foul","free","close","broad","chocolate","enlarging","bulbous","silky","silky","pink","buff","partial","white","one","large","chocolate","several","woods","poisonous"
2538,"convex","scaly","red","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","black","several","woods","edible"
2539,"convex","fibrous","red","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","white","gray","partial","white","one","pendant","black","several","woods","edible"
2540,"convex","fibrous","gray","False","foul","free","close","broad","chocolate","enlarging","bulbous","silky","silky","buff","brown","partial","white","one","large","chocolate","solitary","woods","poisonous"
2541,"convex","fibrous","pink","False","creosote","free","crowded","narrow","brown","enlarging","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","woods","poisonous"
2542,"convex","fibrous","gray","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","black","several","woods","edible"
2543,"flat","fibrous","gray","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","brown","solitary","woods","edible"
2544,"convex","fibrous","gray","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","white","pink","partial","white","one","pendant","brown","several","woods","edible"
2545,"convex","scaly","gray","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","white","pink","partial","white","one","pendant","black","solitary","woods","edible"
2546,"convex","scaly","gray","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","white","gray","partial","white","one","pendant","brown","several","woods","edible"
2547,"flat","fibrous","gray","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","gray","gray","partial","white","one","pendant","brown","solitary","woods","edible"
2548,"convex","fibrous","gray","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","white","pink","partial","white","one","pendant","brown","solitary","woods","edible"
2549,"convex","fibrous","red","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","gray","pink","partial","white","one","pendant","black","several","woods","edible"
2550,"convex","fibrous","brown","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","white","white","partial","white","one","pendant","black","solitary","woods","edible"
2551,"convex","scaly","brown","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","black","several","woods","edible"
2552,"flat","fibrous","brown","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","white","gray","partial","white","one","pendant","black","solitary","woods","edible"
2553,"flat","fibrous","brown","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","pink","white","partial","white","one","pendant","brown","several","woods","edible"
2554,"flat","fibrous","gray","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","black","solitary","woods","edible"
2555,"convex","fibrous","gray","True","none","free","close","broad","pink","tapering","bulbous","smooth","smooth","white","gray","partial","white","one","pendant","black","solitary","woods","edible"
2556,"convex","scaly","brown","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","brown","several","woods","edible"
2557,"convex","scaly","red","True","none","free","close","broad","white","tapering","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","brown","several","woods","edible"
2558,"flat","fibrous","brown","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","brown","several","woods","edible"
2559,"convex","scaly","gray","True","none","free","close","broad","brown","tapering","bulbous","smooth","smooth","pink","white","partial","white","one","pendant","brown","several","woods","edible"
2560,"convex","scaly","brown","True","none","free","close","broad","purple","tapering","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","black","solitary","woods","edible"
