"id","passengerClass","passengerAge","passengerSex","passengerSurvival"
918,"3rd",40,"male","survived"
919,"3rd",-1,"male","died"
920,"3rd",20,"male","died"
921,"3rd",-1,"male","died"
922,"3rd",-1,"male","died"
923,"3rd",-1,"female","survived"
924,"3rd",-1,"female","survived"
925,"3rd",30,"male","died"
926,"3rd",40,"male","died"
927,"3rd",-1,"male","survived"
928,"3rd",-1,"male","died"
929,"3rd",-1,"female","died"
930,"3rd",-1,"male","died"
931,"3rd",-1,"male","died"
932,"3rd",-1,"male","died"
933,"3rd",20,"female","died"
934,"3rd",30,"male","died"
935,"3rd",0,"female","survived"
936,"3rd",30,"male","survived"
937,"3rd",30,"female","survived"
938,"3rd",0,"female","died"
939,"3rd",20,"male","died"
940,"3rd",40,"female","died"
941,"3rd",-1,"male","died"
942,"3rd",20,"male","survived"
943,"3rd",-1,"male","died"
944,"3rd",40,"female","died"
945,"3rd",-1,"male","died"
946,"3rd",-1,"male","survived"
947,"3rd",-1,"male","died"
948,"3rd",20,"female","survived"
949,"3rd",-1,"male","died"
950,"3rd",30,"male","survived"
951,"3rd",30,"male","died"
952,"3rd",30,"male","died"
953,"3rd",20,"male","died"
954,"3rd",20,"male","survived"
955,"3rd",-1,"male","died"
956,"3rd",-1,"female","died"
957,"3rd",-1,"female","died"
958,"3rd",-1,"female","died"
959,"3rd",-1,"female","died"
960,"3rd",30,"male","died"
961,"3rd",30,"male","died"
962,"3rd",-1,"female","died"
963,"3rd",-1,"male","died"
964,"3rd",40,"male","died"
965,"3rd",40,"male","died"
966,"3rd",20,"male","died"
967,"3rd",20,"female","died"
968,"3rd",40,"female","died"
969,"3rd",40,"male","died"
970,"3rd",30,"female","died"
971,"3rd",20,"male","survived"
972,"3rd",-1,"male","died"
973,"3rd",30,"male","died"
974,"3rd",-1,"male","died"
975,"3rd",30,"male","died"
976,"3rd",30,"female","died"
977,"3rd",-1,"male","died"
978,"3rd",20,"male","died"
979,"3rd",30,"male","survived"
980,"3rd",50,"male","died"
981,"3rd",20,"female","survived"
982,"3rd",30,"male","survived"
983,"3rd",-1,"male","died"
984,"3rd",-1,"male","died"
985,"3rd",-1,"female","survived"
986,"3rd",20,"male","survived"
987,"3rd",20,"male","died"
988,"3rd",-1,"female","died"
989,"3rd",-1,"male","died"
990,"3rd",-1,"male","died"
991,"3rd",30,"male","died"
992,"3rd",-1,"male","survived"
993,"3rd",30,"female","died"
994,"3rd",-1,"female","survived"
995,"3rd",-1,"male","died"
996,"3rd",40,"male","died"
997,"3rd",30,"male","died"
998,"3rd",-1,"female","survived"
999,"3rd",-1,"male","died"
1000,"3rd",-1,"female","survived"
1001,"3rd",-1,"male","survived"
1002,"3rd",-1,"female","survived"
1003,"3rd",-1,"female","survived"
1004,"3rd",-1,"male","survived"
1005,"3rd",-1,"female","survived"
1006,"3rd",-1,"male","died"
1007,"3rd",-1,"female","survived"
1008,"3rd",20,"female","survived"
1009,"3rd",40,"female","died"
1010,"3rd",-1,"male","died"
1011,"3rd",20,"male","died"
1012,"3rd",20,"female","died"
1013,"3rd",-1,"female","died"
1014,"3rd",-1,"female","died"
1015,"3rd",-1,"female","died"
1016,"3rd",60,"male","died"
1017,"3rd",-1,"male","died"
1018,"3rd",20,"male","survived"
1019,"3rd",-1,"male","died"
1020,"3rd",20,"male","died"
1021,"3rd",20,"male","died"
1022,"3rd",30,"male","died"
1023,"3rd",-1,"male","died"
1024,"3rd",-1,"female","survived"
1025,"3rd",20,"male","died"
1026,"3rd",10,"male","survived"
1027,"3rd",30,"female","survived"
1028,"3rd",-1,"male","died"
1029,"3rd",-1,"female","survived"
1030,"3rd",-1,"male","died"
1031,"3rd",-1,"male","died"
1032,"3rd",30,"male","died"
1033,"3rd",-1,"male","died"
1034,"3rd",-1,"male","survived"
1035,"3rd",-1,"male","survived"
1036,"3rd",-1,"male","survived"
1037,"3rd",-1,"female","survived"
1038,"3rd",-1,"female","survived"
1039,"3rd",-1,"male","died"
1040,"3rd",-1,"female","survived"
1041,"3rd",20,"female","survived"
1042,"3rd",-1,"male","died"
1043,"3rd",-1,"female","survived"
1044,"3rd",-1,"female","survived"
1045,"3rd",-1,"female","survived"
1046,"3rd",20,"male","died"
1047,"3rd",20,"male","died"
1048,"3rd",20,"female","survived"
1049,"3rd",0,"female","survived"
1050,"3rd",20,"male","survived"
1051,"3rd",20,"female","survived"
1052,"3rd",30,"male","died"
1053,"3rd",-1,"male","died"
1054,"3rd",-1,"male","died"
1055,"3rd",-1,"female","died"
1056,"3rd",-1,"male","died"
1057,"3rd",10,"male","survived"
1058,"3rd",10,"female","survived"
1059,"3rd",30,"female","died"
1060,"3rd",30,"male","died"
1061,"3rd",20,"female","survived"
1062,"3rd",30,"female","survived"
1063,"3rd",20,"male","died"
1064,"3rd",40,"male","died"
1065,"3rd",40,"male","survived"
1066,"3rd",20,"male","died"
1067,"3rd",30,"male","died"
1068,"3rd",20,"female","survived"
1069,"3rd",60,"male","died"
1070,"3rd",-1,"male","died"
1071,"3rd",-1,"male","died"
1072,"3rd",-1,"female","survived"
1073,"3rd",-1,"male","died"
1074,"3rd",-1,"male","died"
1075,"3rd",-1,"male","died"
1076,"3rd",20,"male","died"
1077,"3rd",-1,"female","died"
1078,"3rd",-1,"female","survived"
1079,"3rd",-1,"female","survived"
1080,"3rd",20,"female","survived"
1081,"3rd",-1,"male","survived"
1082,"3rd",-1,"female","survived"
1083,"3rd",10,"male","survived"
1084,"3rd",30,"male","died"
1085,"3rd",40,"male","died"
1086,"3rd",-1,"male","died"
1087,"3rd",30,"female","died"
1088,"3rd",30,"male","died"
1089,"3rd",30,"male","survived"
1090,"3rd",20,"male","died"
1091,"3rd",20,"female","died"
1092,"3rd",20,"female","died"
1093,"3rd",20,"male","died"
1094,"3rd",20,"male","died"
1095,"3rd",30,"female","survived"
1096,"3rd",-1,"female","died"
1097,"3rd",0,"male","died"
1098,"3rd",10,"male","died"
1099,"3rd",0,"female","died"
1100,"3rd",10,"female","died"
1101,"3rd",30,"female","died"
1102,"3rd",0,"male","died"
1103,"3rd",10,"male","died"
1104,"3rd",0,"male","died"
1105,"3rd",20,"male","died"
1106,"3rd",10,"male","died"
1107,"3rd",40,"female","died"
1108,"3rd",20,"male","died"
1109,"3rd",20,"male","died"
1110,"3rd",-1,"male","died"
1111,"3rd",30,"male","died"
1112,"3rd",0,"male","died"
1113,"3rd",0,"female","died"
1114,"3rd",30,"female","died"
1115,"3rd",-1,"male","died"
1116,"3rd",-1,"male","died"
1117,"3rd",-1,"male","died"
1118,"3rd",20,"male","died"
1119,"3rd",20,"male","died"
1120,"3rd",20,"male","died"
1121,"3rd",20,"male","survived"
1122,"3rd",-1,"male","survived"
1123,"3rd",-1,"female","survived"
1124,"3rd",-1,"female","survived"
1125,"3rd",-1,"female","died"
1126,"3rd",20,"male","died"
1127,"3rd",30,"female","died"
1128,"3rd",20,"male","died"
1129,"3rd",-1,"male","died"
1130,"3rd",20,"male","died"
1131,"3rd",20,"female","died"
1132,"3rd",30,"male","survived"
1133,"3rd",-1,"male","died"
1134,"3rd",20,"male","died"
1135,"3rd",20,"male","died"
1136,"3rd",-1,"male","died"
1137,"3rd",-1,"female","died"
1138,"3rd",-1,"male","died"
1139,"3rd",-1,"male","died"
1140,"3rd",40,"male","died"
1141,"3rd",20,"male","died"
1142,"3rd",10,"male","died"
1143,"3rd",0,"male","died"
1144,"3rd",10,"male","died"
1145,"3rd",0,"male","died"
1146,"3rd",10,"male","died"
1147,"3rd",40,"female","died"
1148,"3rd",20,"female","died"
1149,"3rd",40,"male","died"
1150,"3rd",-1,"female","survived"
1151,"3rd",-1,"male","died"
1152,"3rd",-1,"female","died"
1153,"3rd",50,"male","died"
1154,"3rd",50,"female","died"
1155,"3rd",-1,"male","died"
1156,"3rd",-1,"male","died"
1157,"3rd",0,"female","died"
1158,"3rd",20,"male","died"
1159,"3rd",40,"female","died"
1160,"3rd",-1,"female","survived"
1161,"3rd",50,"male","died"
1162,"3rd",20,"male","died"
1163,"3rd",-1,"male","survived"
1164,"3rd",-1,"male","died"
1165,"3rd",-1,"male","died"
1166,"3rd",20,"male","died"
1167,"3rd",-1,"male","died"
1168,"3rd",-1,"male","died"
1169,"3rd",-1,"male","died"
1170,"3rd",40,"male","died"
1171,"3rd",-1,"male","died"
1172,"3rd",10,"male","died"
1173,"3rd",-1,"female","died"
1174,"3rd",-1,"female","died"
1175,"3rd",-1,"female","died"
1176,"3rd",-1,"female","died"
1177,"3rd",-1,"male","died"
1178,"3rd",-1,"male","died"
1179,"3rd",-1,"male","died"
1180,"3rd",-1,"male","died"
1181,"3rd",-1,"female","died"
1182,"3rd",20,"male","died"
1183,"3rd",20,"female","survived"
1184,"3rd",40,"male","died"
1185,"3rd",-1,"male","died"
1186,"3rd",-1,"male","died"
1187,"3rd",-1,"male","died"
1188,"3rd",0,"female","survived"
1189,"3rd",20,"female","survived"
1190,"3rd",0,"female","survived"
1191,"3rd",20,"male","survived"
1192,"3rd",20,"male","died"
1193,"3rd",20,"male","died"
1194,"3rd",-1,"male","died"
1195,"3rd",-1,"male","died"
1196,"3rd",-1,"male","died"
1197,"3rd",30,"male","survived"
1198,"3rd",-1,"male","died"
1199,"3rd",-1,"female","survived"
1200,"3rd",-1,"male","died"
1201,"3rd",-1,"male","died"
1202,"3rd",20,"male","died"
1203,"3rd",-1,"male","died"
1204,"3rd",40,"male","died"
1205,"3rd",20,"male","died"
1206,"3rd",20,"female","survived"
1207,"3rd",0,"male","died"
1208,"3rd",10,"male","died"
1209,"3rd",10,"female","died"
1210,"3rd",0,"female","died"
1211,"3rd",40,"male","died"
1212,"3rd",40,"female","died"
1213,"3rd",-1,"male","died"
1214,"3rd",-1,"male","died"
1215,"3rd",-1,"male","died"
1216,"3rd",-1,"male","died"
1217,"3rd",-1,"female","survived"
1218,"3rd",20,"male","died"
1219,"3rd",30,"male","died"
1220,"3rd",-1,"male","died"
1221,"3rd",30,"male","died"
1222,"3rd",-1,"male","died"
1223,"3rd",30,"male","died"
1224,"3rd",20,"female","survived"
1225,"3rd",20,"male","died"
1226,"3rd",60,"male","died"
1227,"3rd",20,"male","died"
1228,"3rd",20,"female","died"
1229,"3rd",30,"male","survived"
1230,"3rd",30,"male","died"
1231,"3rd",0,"female","died"
1232,"3rd",30,"female","died"
1233,"3rd",20,"male","survived"
1234,"3rd",40,"male","survived"
1235,"3rd",20,"male","died"
1236,"3rd",70,"male","died"
1237,"3rd",10,"male","survived"
1238,"3rd",20,"male","died"
1239,"3rd",20,"male","survived"
1240,"3rd",30,"male","died"
1241,"3rd",0,"male","survived"
1242,"3rd",-1,"male","died"
1243,"3rd",-1,"male","died"
1244,"3rd",-1,"male","died"
1245,"3rd",20,"female","survived"
1246,"3rd",-1,"male","died"
1247,"3rd",-1,"male","died"
1248,"3rd",-1,"female","survived"
1249,"3rd",30,"male","died"
1250,"3rd",-1,"male","died"
1251,"3rd",-1,"male","died"
1252,"3rd",30,"male","died"
1253,"3rd",40,"male","died"
1254,"3rd",-1,"male","died"
1255,"3rd",20,"male","survived"
1256,"3rd",-1,"male","died"
1257,"3rd",10,"male","survived"
1258,"3rd",10,"female","survived"
1259,"3rd",30,"female","survived"
1260,"3rd",40,"male","died"
1261,"3rd",20,"female","survived"
1262,"3rd",60,"female","survived"
1263,"3rd",-1,"male","died"
1264,"3rd",10,"male","died"
1265,"3rd",40,"male","died"
1266,"3rd",10,"female","died"
1267,"3rd",40,"male","died"
1268,"3rd",30,"female","died"
1269,"3rd",-1,"male","died"
1270,"3rd",30,"male","died"
1271,"3rd",30,"male","died"
1272,"3rd",30,"male","died"
1273,"3rd",50,"male","died"
1274,"3rd",20,"female","died"
1275,"3rd",30,"male","died"
1276,"3rd",20,"male","died"
1277,"3rd",30,"female","died"
1278,"3rd",20,"male","survived"
1279,"3rd",20,"male","died"
1280,"3rd",10,"female","died"
1281,"3rd",20,"male","died"
1282,"3rd",20,"male","died"
1283,"3rd",-1,"male","died"
1284,"3rd",-1,"male","died"
1285,"3rd",-1,"male","died"
1286,"3rd",30,"male","died"
1287,"3rd",40,"female","survived"
1288,"3rd",50,"male","died"
1289,"3rd",20,"male","died"
1290,"3rd",20,"male","died"
1291,"3rd",50,"female","survived"
1292,"3rd",-1,"male","died"
1293,"3rd",-1,"male","died"
1294,"3rd",-1,"male","died"
1295,"3rd",30,"male","died"
1296,"3rd",20,"male","died"
1297,"3rd",30,"male","died"
1298,"3rd",-1,"male","died"
1299,"3rd",40,"male","died"
1300,"3rd",30,"male","died"
1301,"3rd",20,"female","survived"
1302,"3rd",50,"male","died"
1303,"3rd",-1,"male","died"
1304,"3rd",-1,"male","died"
1305,"3rd",10,"female","died"
1306,"3rd",-1,"female","died"
1307,"3rd",30,"male","died"
1308,"3rd",30,"male","died"
1309,"3rd",30,"male","died"
